account_creation_date,bot_or_not,clean_tweet_text,follower_count,following_count,tweet_text,tweet_time,tweetid,user_profile_description,user_reported_location,user_screen_name
2017-07-04,1,democrat funneled 80k campaign funds to his sister,782,3640,Democrat Funneled $80K Campaign Funds to his Sister https://t.co/9xd4BaXY6k https://t.co/5m1C8EzRTL,2017-07-16 15:26,886607938026131462,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-13,1,liberals target this 121 year old war memorial as racist,305,957,Liberals Target this 121-Year-Old War Memorial as RACIST https://t.co/L3LG6NEywf https://t.co/dhuHMChbuv,2017-07-22 14:27,888767412497264640,"Journalist, passionate about taking information that if it is worth reading, follow me and part of the current",United States,u4JYTwWbY74J9f9DZSz3Bzw92HwEY0vEo6bOK09P68=
2017-07-21,1,desperate libs attempting new strategy to keep voter fraud secret,80,937,Desperate Libs Attempting New Strategy to Keep Voter Fraud Secret https://t.co/zJJKNxTbXI https://t.co/waEzJqIw1h,2017-07-21 19:01,888474042574921729,"Donald Trump is a journalist who has taken the best secret information of the moment, you want to discover the secrets of Donald Trump? Here is the best for you",United States,JhK63x2D2z5HluT1xyVrDYOJDAK2LxvO0ivpu4i1G8=
2017-07-26,1,ste dir of national intelligence just dropped a badass nuke on wh leakers,779,2821,#ste Dir. of National Intelligence Just Dropped a BADASS NUKE on WH LEAKERS https://t.co/t6KCLgtcoE https://t.co/uT80bOzCR1,2017-08-05 23:45,893981280076955654,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-26,1,ste good grief michelle obama whines over the hardships of being flotus,779,2821,#ste Good Grief! Michelle Obama Whines Over the “Hardships” of Being FLOTUS https://t.co/adk1aNeAxs https://t.co/A1rRdWMEw6,2017-08-01 22:10,892507803700613121,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-10,1,this is why susan rice refuses to testify,470,1852,THIS is Why Susan Rice REFUSES to Testify! https://t.co/kXDeGqMATD https://t.co/x6r6n5RJdt,2017-07-23 18:37,889192753581748228,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-10,1,things just went from bad to worse for debbie wasserman schulz,470,1852,Things Just Went from BAD to WORSE for Debbie Wasserman Schulz! https://t.co/WbblHnQ1ue https://t.co/pnvhrrpClJ,2017-07-24 08:47,889406591371542528,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-26,1,rt suernloca love this misconception among dems that all trump supporters are uneducated look at your numbers again we are the forgotten,779,2821,RT Suernloca: Love this misconception among Dems that all Trump supporters are uneducated. Look at your numbers again. We are the forgotten…,2017-08-01 13:45,892380777010384896,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-26,1,rt collinrugg dana loesch has officially started a snowflake meltdown dems can t stand strong conservative wom,779,2821,"RT CollinRugg: Dana Loesch has officially started a SNOWFLAKE MELTDOWN!

Dems can't stand strong, conservative wom… https://t.co/PpTpFuEKjx",2017-08-06 16:36,894235800971476993,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-26,1,just erichreimer thanks for the follow maga via lov jan,2094,4063,#just ErichReimer Thanks for the follow MAGA via https://t.co/MUqS0ihlvW #lov #jan,2017-08-12 18:46,896442828481548290,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,just mrsesk thanks for the follow maga via lov jan,2094,4063,#just MrsESK Thanks for the follow MAGA via https://t.co/MUqS0ihlvW #lov #jan,2017-07-31 18:50,892095228647268352,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,just rt realjameswoods finally real news about election malfeasance thank you to the last true journalist in america catherine herridge,2094,4063,"#just RT RealJamesWoods: Finally real news about election malfeasance. Thank you to the last true journalist in America, Catherine Herridge…",2017-07-29 13:38,891291827709542401,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-13,1,breaking media s obsession with fake trump russia news has backfired,142,939,BREAKING : Media’s Obsession with FAKE Trump-Russia News Has BACKFIRED! https://t.co/XDGtWjgOdb https://t.co/RgP0r7QSDu,2017-07-16 03:35,886429103909470208,"FOLLOW ME, I will take you the best political information of the moment, you want to have the best secrets of the president?",United States,YzWlSNnJ7jn75fiCHHnbWDYV2ezU7dg44Qo6jku5h9s=
2017-07-26,1,rt aiiamericangiri west virginia s democratic governor announces switch to republican party foxnews,779,2821,"RT AIIAmericanGirI: West Virginia's Democratic governor announces switch to Republican party FoxNews
https://t.co/EBJ5mAtpFv",2017-08-04 01:42,893285988037951488,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-04,1,cue liberal meltdown trump just named his russian ambassador,782,3640,CUE LIBERAL MELTDOWN – Trump Just Named His Russian Ambassador https://t.co/cKDFeMf8hl https://t.co/PG3BK8ttOl,2017-07-19 00:41,887472362328817664,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-04,1,lol see what happens when cnn goes head to head with nick at nite reruns,782,3640,LOL : See What Happens When CNN Goes Head to Head With Nick-at-Nite RERUNS https://t.co/Ud1zCCxFxy https://t.co/jid8BbrrHi,2017-07-06 20:51,883065843344707584,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-26,1,mar crooked mueller s sinister two grand juries scheme exposed,462,3002,#mar Crooked Mueller’s SINISTER Two Grand Juries Scheme EXPOSED https://t.co/IijoUwPcx3 https://t.co/025E8BvBKR,2017-08-08 09:38,894855279774445568,"Wife, Mother, Grandmother. I enjoy politics, history and traveling. The more our country turns its back on its foundation, the bigger my eyes get!  #Follow me",United States,36bo5zSyXfunLmzPA3uO81MLs9TWJ8x5r+WMFT90EO8=
2017-07-10,1,megyn kelly s downward ratings spiral could mean cancellation,196,1858,Megyn Kelly’s Downward Ratings Spiral Could Mean Cancellation https://t.co/4spLvNDoan https://t.co/wxwQilFrJt,2017-07-17 23:27,887091379981221888,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-10,1,ice chief ranks the worst four sanctuary cities,470,1852,ICE Chief Ranks the WORST FOUR Sanctuary Cities https://t.co/eYQETFQU7C https://t.co/eCppquCw4m,2017-07-24 17:12,889533822387277825,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-26,1,just rt 2chron169 let s expose them amp exclude them from wh briefings do real journalists exist that report the facts instead of spinn,2094,4063,#just RT 2Chron169: Let's expose them &amp; exclude them from WH Briefings Do Real Journalists exist that report the facts instead of spinn… …,2017-08-05 02:32,893660912032374785,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-10,1,dnc reports record low donations while obama foundation pulls in millions,196,1858,DNC Reports Record Low Donations While Obama Foundation Pulls in MILLIONS https://t.co/CbtaevEl3j https://t.co/k605vXmqQp,2017-07-18 12:47,887292733425057796,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-10,1,coward senator who helped kill healthcare runs from reporters,196,1858,COWARD Senator Who Helped Kill Healthcare RUNS from Reporters https://t.co/Q46JUic1UQ https://t.co/DBjpywXOjZ,2017-07-19 18:02,887734345737416706,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-10,1,you won t believe the absurd crap chuck schumer is blaming on trump,470,1852,You Won’t Believe the ABSURD CRAP Chuck Schumer is Blaming on Trump https://t.co/DqZbodLTdX https://t.co/EXCVoGYHBd,2017-07-12 15:34,885160520860520448,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-10,1,everyone is talking about this trump magazine cover from poland,470,1852,Everyone is Talking about this Trump Magazine Cover from Poland! https://t.co/NEnTD7pEFI https://t.co/L6GSPCRlmu,2017-07-17 00:51,886750109068820480,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-26,1,just dhealthyworld thanks for the follow maga via lov jan,2094,4063,#just dhealthyworld Thanks for the follow MAGA via https://t.co/MUqS0ihlvW #lov #jan,2017-07-30 16:58,891704588381937664,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-10,1,you won t believe what comey is doing for attention now,470,1852,You Won’t Believe What Comey is Doing for Attention Now… https://t.co/A8uizUTAOh https://t.co/SwNgfz74cA,2017-07-16 23:51,886735026674688001,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-26,1,made__usa nancyl367 he s a tranny democrat since he lost his bid for potus his mind went bonkers so jealous o,779,2821,"MADE__USA nancyl367 He's a Tranny-Democrat. Since he lost his bid for #POTUS, his mind went bonkers. So jealous o… https://t.co/BTe9u9Dirk",2017-08-03 23:37,893254476290772993,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-04,1,rogue activist judge strikes again,782,3640,Rogue Activist Judge Strikes Again https://t.co/fqS940lL3S https://t.co/x5EFenE3Mh,2017-07-21 22:14,888522540447969281,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-26,1,jan wow trump has had enough of the gop traitors look what he just tweeted,2094,4063,#jan WOW! Trump Has Had Enough of the GOP Traitors. Look What He Just Tweeted! https://t.co/zW5Dtjptcb https://t.co/0idwadnVnE,2017-07-29 18:56,891371860381904897,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-10,1,wtf linda sarsour will headline this upcoming event,196,1858,WTF??? Linda Sarsour Will HEADLINE this Upcoming Event https://t.co/Ha1s73K0nL https://t.co/pFa29LQwCK,2017-07-14 18:10,885924520980353025,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-26,1,jan feinstein calls trump cruel for following immigration laws,2094,4063,#jan Feinstein Calls Trump “CRUEL” for Following Immigration Laws https://t.co/LzNXul2Ck0 https://t.co/n4O11J6sL2,2017-08-12 19:26,896452917871431680,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,just rt miketokes the democrats and liberal media will try to attack trump for things that aren t even true that s why most of ameri,2094,4063,#just RT MikeTokes: The democrats and liberal media will try to attack Trump for things that aren't even true. That's why most of Ameri… …,2017-08-16 01:16,897628036467654657,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,just rt realjameswoods handy rule of thumb if a liberal likes something avoid it short it sell it ignore it resist it or dump it,2094,4063,"#just RT RealJamesWoods: Handy rule of thumb: if a #liberal likes something, avoid it, short, it, sell it, ignore it, resist it, or dump it…",2017-08-04 14:37,893480943788453889,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,jan petition demands arrest of senator who called for trump s assassination,2094,4063,#jan Petition DEMANDS ARREST of Senator Who Called for Trump’s Assassination https://t.co/QPMAJsYDg7 https://t.co/mUfWtT6W6w,2017-08-18 16:51,898588225609924608,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,rt kateandrew9 trump he s a man of integrity i like his self esteem,779,2821,RT KateAndrew9: Trump he's a man of integrity I like his self esteem https://t.co/DPHeaDd08Z,2017-07-30 12:41,891639918019186688,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-04,1,breaking it just happened august recess called off,782,3640,BREAKING : IT JUST HAPPENED! “August Recess” Called OFF! https://t.co/AbwVhWEuhq https://t.co/0SRW1XG02D,2017-07-11 18:14,884838257644711937,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-10,1,judge jeanine takes down crooked mueller makes case for his dismissal,470,1852,"Judge Jeanine TAKES DOWN Crooked Mueller, Makes Case for His Dismissal! https://t.co/RYv55bQVcZ https://t.co/t7tuM0Pz27",2017-07-20 23:11,888174500797448194,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-04,1,scaramucci just put cnn on notice,782,3640,Scaramucci Just Put CNN on Notice! https://t.co/9A5U8s4tsr https://t.co/TyoN5okO6A,2017-07-23 00:10,888914064650506240,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-26,1,rt carrieksada congratulations mr obama here is your ty for making it possible to elect realdonaldtrump for,779,2821,"RT carrieksada: Congratulations Mr. Obama. 
Here is your 🏆 
TY for making it possible to elect realDonaldTrump for… https://t.co/B8W6NqdUnu",2017-08-05 15:02,893849658732183553,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-04,1,boom hannity hits 1 show on cable news cnn not even in top 5,782,3640,"BOOM! Hannity Hits #1 Show on Cable News, CNN Not Even in Top 5 https://t.co/dOgHpvvsp5 https://t.co/bnrfZqgBU0",2017-07-14 00:18,885654742600474625,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-10,1,queen of fake news gets owned after making idiotic comment,470,1852,Queen of Fake News gets OWNED after Making IDIOTIC Comment https://t.co/ArodBFLAAi https://t.co/VvGl1iS3m0,2017-07-21 22:16,888523157019275264,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-26,1,just rt margotljparker london is the tb capital of europe due to mass migration and poverty lov jan,2094,4063,#just RT MargotLJParker: London is the TB capital of Europe due to mass migration and poverty https://t.co/YxMI1xvwvn #lov #jan,2017-07-31 00:34,891819275354296320,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,mar breaking the trump wall just got expedited,462,3002,#mar BREAKING : The Trump Wall Just Got Expedited! https://t.co/o97nKvY8RR https://t.co/7IoIJh7hWh,2017-08-02 03:13,892584163102142465,"Wife, Mother, Grandmother. I enjoy politics, history and traveling. The more our country turns its back on its foundation, the bigger my eyes get!  #Follow me",United States,36bo5zSyXfunLmzPA3uO81MLs9TWJ8x5r+WMFT90EO8=
2017-07-04,1,trump s yuge announcement is triggering anti trump feminists,782,3640,Trump’s YUGE Announcement is TRIGGERING Anti-Trump Feminists https://t.co/Ma5H0MhkF1 https://t.co/lDUI4FTSa9,2017-07-08 21:39,883802672855470080,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-04,1,breaking michigan officially outlaws female genital mutilation,782,3640,BREAKING : Michigan Officially OUTLAWS Female Genital Mutilation https://t.co/cBe6w3WxSX https://t.co/wy2jRD5l0I,2017-07-13 02:54,885331487993868288,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-26,1,rt gop last call west virginia get your tickets to see potus today,779,2821,"RT GOP: LAST CALL WEST VIRGINIA: get your tickets to see POTUS today. 
https://t.co/Z6Djeoz0kx",2017-08-04 00:57,893274687463071746,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-26,1,rt realjameswoods trump aide stephenmiller schools uninformed cnn hack jimacosta on immigration naturalization,779,2821,RT RealJamesWoods: Trump aide #StephenMiller schools uninformed CNN #hack #JimAcosta on immigration/naturalization… https://t.co/jgW4iP9HZl,2017-08-03 01:17,892917255163584512,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-26,1,jan video eric trump is behind general kelly 100,2094,4063,#jan VIDEO : Eric Trump is Behind General Kelly 100%! https://t.co/iMsu4Rdq7S https://t.co/bK6lpDKIDe,2017-08-01 12:56,892368473782964229,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-10,1,conservative women shred wapo feminist for mocking sarah huckabee,196,1858,Conservative Women SHRED Wapo “Feminist” for Mocking Sarah Huckabee https://t.co/M2Z2qfbC3g https://t.co/96OuW2DkFa,2017-07-23 19:07,889200278100226057,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-13,1,breaking gop fighting to end obama s military funding for transgender operations,305,957,BREAKING : GOP Fighting to END Obama’s Military Funding for Transgender Operations https://t.co/wRYaoFIlYc https://t.co/B90F6lxsUi,2017-07-13 22:24,885626038369308672,"Journalist, passionate about taking information that if it is worth reading, follow me and part of the current",United States,u4JYTwWbY74J9f9DZSz3Bzw92HwEY0vEo6bOK09P68=
2017-07-10,1,ice just upped the ante and illegals are terrified,196,1858,ICE Just Upped the ANTE and Illegals are TERRIFIED! https://t.co/52POFARB4j https://t.co/Zw8QWTcMWo,2017-07-23 18:37,889192788247678977,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-26,1,just rt kwilli1046 guy who founded the weather channel and says global warming is a complete hoax based on faked data,2094,4063,#just RT kwilli1046: Guy who founded the weather channel and says global warming is a complete hoax based on faked data …,2017-08-15 10:51,897410373573332993,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-26,1,rt peesparkle time to make english the official language english should be usas language priority english1st,779,2821,"RT PeeSparkle: Time to make English the official language 
ENGLISH should be USAs language priority 
#English1st 
… https://t.co/dcjAKiBqLc",2017-08-08 00:41,894720243746172928,"Journalist highlighted in taking the best information of the moment, follow me and you will be part of the most controversial of the day",United States,wusEXnOUoeG8bfSFMYqUjMyhNZVKKn6hKwrWPW3v1ik=
2017-07-10,1,there s never been 6 months like this,196,1858,There’s Never Been 6 Months Like This! https://t.co/FZm25B3i4p https://t.co/CyB46hpthw,2017-07-22 20:14,888854727840194560,"Follow me, I have the hidden secrets of Donald Trump, Specialist in bringing the best news of the moment every day",United States,Qchtueq2uJm6DRiEGQXDZVweouM9LYTkIfVEKuEjOqA=
2017-07-10,1,breaking bombshell interview counters clinton investigator suicide explanation,470,1852,BREAKING : Bombshell Interview Counters Clinton Investigator “Suicide” Explanation https://t.co/UtII1E9x9Y https://t.co/MKR5u5Aadj,2017-07-15 15:11,886241815212548097,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
