,account_creation_date,bot_or_not,clean_tweet_text,follower_count,following_count,tweet_text,tweet_time,tweetid,user_profile_description,user_reported_location,user_screen_name
14,2014-08-15,1,yogi berra funeral to be televised on yankees tv network baseball,40762,14404,Yogi Berra funeral to be televised on Yankees TV network  #baseball,2015-09-29 13:23,648850710084239361,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
15,2014-08-27,1,politics nyc car washes must get licenses under bill,66980,10500,#politics NYC car washes must get licenses under bill,2015-06-10 21:23,608746388902428672,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
16,2014-05-29,1,foreign government code reviews problematic white house cyber official,36094,20288,Foreign government code reviews 'problematic': White House cyber official https://t.co/PTcbgg7IBd,2017-10-04 03:19,915416072609771522,Tweets and politics,United States,Politweecs
17,2013-08-09,1,decorate my car todolistbeforechristmas,4502,3583,Decorate my car... #ToDoListBeforeChristmas https://t.co/y0zQu5hSP0,2016-11-28 15:19,803256995423854592,lucky I am,"London, England",66b33eda904351d75b311b88838e41b10665e689090182d9defac0e2eae2f828
18,2015-02-28,1,just watched sttepodcast interview thebruun mcmcomiccon very enjoyable,84,230,Just watched @sttepodcast interview @TheBruun @MCMComicCon. Very enjoyable.,2015-05-23 13:54,602110445244293120,Comedy news/pop culture podcast bringing the A game to London. Listen on ITunes http://t.co/MDgKpbapY3 & stitcher http://t.co/VFCGNlgPCQ,United Kingdom,5fe1ff96eabcb7e57d3783801171868705c60338201c67d559f22577e769c2b8
19,2014-05-05,1,girl scout cookies go on sale jan 16 in baton rouge amp new orleans how to find them news,35988,11010,Girl Scout cookies go on sale Jan. 16 in Baton Rouge &amp; New Orleans: How to find them  #news,2015-01-15 20:48,555828826454761473,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
20,2009-10-04,1,russia invaded ukraine do you know that its ukrainian hog wash fuckin liers ukrainianlie,87,214,Russia invaded Ukraine? Do you know that its Ukrainian hog-wash?.Fuckin’ liers!  #UkrainianLie,2014-08-28 19:32,505075371402723328,#mother #wife #housewife,Texas,6e90081717fd0f8f8ad728d2ed66300cea7eb533ebc1eeac1bf770155c9e4587
21,2014-07-24,1,just wanna get rid of this vape someone take it off my hands,137,136,Just wanna get rid of this vape  someone take it off my hands,2016-02-02 16:40,694561094417801216,Painting is just another way of keeping a diary.,"North Port, FL",becad901165ccabfc710c5c67b8a917932a56b983843a3ac489adf4b73928323
22,2014-05-29,1,music cities emerging as popular memorial day destinations business,22212,8953,Music cities emerging as popular Memorial Day destinations  #business,2015-05-22 17:20,601799778314227712,"Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements","Memphis, TN",OnlineMemphis
23,2014-08-15,1,full text of rand paul s announcement of his 2016 candidacy politics,40762,14404,Full text of Rand Paul’s announcement of his 2016 candidacy  #politics,2015-04-07 18:09,585504716819451906,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
24,2014-04-01,1,so what the hell is going on,57,70,so what the hell is going on,2014-08-25 07:41,503809265891823616,Things do not change; we change.,"Dallas, Texas",919aaa7f93c0dd791e54caa89b6213199d9a0f4d46531c3b7f046ad1b735cd9b
25,2016-06-15,1,tfergpdx you re a person of rare intelligence it s rare when you show any,2748,265,.@tfergpdx You're a person of rare intelligence. It's rare when you show any.,2016-12-30 08:08,814745043911131140,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,United States,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845
26,2015-12-09,1,the unbelievable truth hillaryforprison2016,47413,29429,The unbelievable truth #HillaryForPrison2016 https://t.co/FYsuze3aEs,2016-02-15 12:39,699211377966186496,"Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica","Texas, USA",TheFoundingSon
27,2014-07-05,1,dez bryant latest health updates special nike shoe news,24696,7388,"Dez Bryant: Latest health updates, special Nike shoe  #news",2015-11-01 16:13,660852090751680512,"Dallas top news and stories, powered 24/7","Dallas, Texas",DallasTopNews
28,2015-11-25,1,former czech president vaclav klaus calls for the czech republic to leave the eu to stop forced multiculturalism part one,72121,42080,Former #Czech President Vaclav Klaus calls for the Czech Republic to leave the EU to stop forced multiculturalism. (Part One) https://t.co/Yi0Z79lk75,2017-06-21 00:55,877328999080382469,Southern. Conservative. Pro God. Anti Racism,"Texas, USA",Pamela_Moore13
29,2014-06-15,1,north carolina coaching great dean smith dies at 83 sports,25263,10975,North Carolina coaching great Dean Smith dies at 83  #sports,2015-02-08 23:49,564571668363091968,"Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share","Seattle, WA",Seattle_Post
30,2014-08-28,1,independence day is celebrated across the city local news,25528,7904,Independence Day is celebrated across the city  #local #news,2015-07-04 15:56,617361399010832386,"San Antonio top news and stories, powered 24/7","City of San Antonio, TX",SanAntoTopNews
31,2014-06-08,1,bruins beat devils in overtime sports,18560,7276,Bruins beat Devils in overtime  #sports,2015-02-28 03:49,571517637982748672,"Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM","Boston, USA",TodayBostonMA
32,2014-08-28,1,lebron james reacts to kevin love injury news,19351,8207,LeBron James reacts to Kevin Love injury news https://t.co/TCRtZI9Npe https://t.co/0k85A9cX3F,2017-02-14 21:06,831610613797355521,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements","City of Cleveland, USA",OnlineCleveland
33,2014-05-05,1,blue bell recall will not bring layoffs cnn money reports news,35988,11010,"Blue Bell recall will not bring layoffs, CNN Money reports  #news",2015-04-22 21:44,590994541441744897,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
34,2014-07-05,1,yikes bastard cabbage weed runs wild in north texas local news,24696,7388,Yikes! Bastard cabbage weed runs wild in North Texas  #local #news,2015-04-10 15:30,586551715366744064,"Dallas top news and stories, powered 24/7","Dallas, Texas",DallasTopNews
35,2014-06-21,1,john mcclain s week 15 texans report card sports,22823,5483,John McClain’s Week 15 Texans report card  #sports,2015-12-21 00:20,678731757693218816,"Houston top news and stories, powered 24/7","Houston, TX",HoustonTopNews
36,2015-03-15,1,oklahoma state lsu tennessee showing interest in mississippi state commit cameron dantzler sports,3378,1829,"Oklahoma State, LSU, Tennessee showing interest in Mississippi State commit Cameron Dantzler  #sports",2015-11-17 14:29,666624173851017218,Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips,"Baton Rouge, LA",cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997
37,2014-05-05,1,after the les miles saga went haywire what is the future for lsu ad joe alleva podcast news,35988,11010,"After the Les Miles' saga went haywire, what is the future for LSU AD Joe Alleva?: Podcast  #news",2015-12-04 14:05,672778679932489728,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
38,2015-12-09,1,the cost of obama family vacations,47413,29429,The cost of Obama family vacations: https://t.co/az5Yiml3CA,2016-12-30 09:46,814769514713874437,"Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica","Texas, USA",TheFoundingSon
39,2014-05-29,1,texas s illegal execution drugs from india have expired it plans to buy more,36094,20288,Texas’s Illegal Execution Drugs From India Have Expired. It Plans To Buy More. https://t.co/SIH7mZoAKH,2017-07-01 01:54,880967877465133056,Tweets and politics,United States,Politweecs
40,2016-06-15,1,i remembered when she slammed others for not reading it hypocrisy is common among liberals,2748,265,I remembered when she slammed others for not reading it...  Hypocrisy is common among liberals https://t.co/oiPqRyO6Jp,2017-12-03 19:48,937408114797641728,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,United States,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845
41,2014-05-29,1,kushner to meet with senate intel committee over russia relationship,36094,20288,Kushner to meet with Senate Intel Committee over Russia relationship https://t.co/4TXUOS3lZg,2017-03-27 20:35,846460746506686466,Tweets and politics,United States,Politweecs
42,2014-12-09,1,msnnews i hope these things don t have any hidden features like mind control,32347,21336,@MSNNews I hope these things don't have any hidden features like mind-control,2015-10-04 08:25,650587529935212544,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",United States,PigeonToday
43,2014-05-29,1,kellyanne conway denies she said microwaves were used to spy on trump campaign,36094,20288,Kellyanne Conway denies she said microwaves were used to spy on Trump campaign https://t.co/iUqkAlzWiW,2017-03-13 15:07,841304606739165184,Tweets and politics,United States,Politweecs
44,2014-10-26,1,armywomenproblems no funny costumes for halloween,22026,12966,#ArmyWomenProblems no funny costumes for Halloween https://t.co/yhhwx6FuZl,2016-06-17 15:58,743835313999613952,#Hashtag warrior | I follow back | Bacon is my one true love | Contact me: sparksandrew6@gmail.com or DMs,I AM A CITIZEN OF THE UNIVERSE,AndyHashtagger
45,2014-06-21,1,rick perry s father joseph ray perry dies,22823,5483,"Rick Perry's father, Joseph Ray Perry, dies https://t.co/7gP6LE0aX6 https://t.co/aiu6P0Ifhj",2017-04-29 02:34,858147355060838400,"Houston top news and stories, powered 24/7","Houston, TX",HoustonTopNews
46,2015-06-22,1,workout is one of my fav songs cole alannized thamilesole karitawall heidiwags5 jantaylor65 tharan_snair,486,5,"http://t.co/9kDoqGKgfw ""Workout"" is one of my fav songs Cole @Alannized @ThamiLesole @KaritaWall @heidiwags5 @JanTaylor65 @tharan_snair",2015-07-16 06:26,621566459865468928,http://t.co/Z2QpDqsbqr  provides wonderful apps to help workout.,"New York, USA",60f0b63e612aa72961a991ed83ad3318ccaa22f9c343ea79bb199e364cf75867
47,2015-10-21,1,i got to spend time with mr trump and i know he understands what it s going to take to fix this marcus luttrell,12421,9410,"""I got to spend time with Mr. Trump and I know he understands what it’s going to take to fix this."" Marcus Luttrell https://t.co/zRCBBnRvbp",2016-07-23 18:19,756916660934770688,"Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet","Texas, USA",patriototus
48,2014-08-15,1,news md gov announces grant application for maglev train after riding one in japan,40762,14404,#news Md. Gov. Announces Grant Application For Maglev Train After Riding One in Japan,2015-06-05 18:12,606886262998302720,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
49,2014-06-18,1,allwentwrongwhen gays were allowed to marry,4483,3281,#AllWentWrongWhen gays were allowed to marry,2015-09-20 15:22,645619148861648896,nerd,"London, UK ",dc037fb4cc327210d7ec4ebc938ac38d3c8ae051213db8b97b8541c48c33372a
50,2014-06-02,1,back when a hoe was a hoe coke was a coke an cracks what you were doin when you were crackin jokes timmcgraw,38,187,"Back when a hoe was a hoe, coke was a coke, an cracks what you were doin', when you were crackin jokes. #TimMcGraw",2014-12-23 12:54,547374655569264640,Many of life’s failures are experienced by people who did not realize how close they were to success when they gave up.,Georgia,b273922f2fbc94f1a3575140eb6dd6d3387b7ec0617a26d6ab45f2f8af7e9140
51,2014-06-08,1,mlb declares cuban infielder olivera a free agent sports,18560,7276,MLB declares Cuban infielder Olivera a free agent  #sports,2015-03-07 12:17,574182046181953536,"Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM","Boston, USA",TodayBostonMA
52,2014-08-15,1,the latest budget offers sizable spending boost for schools business news,40762,14404,The Latest: Budget offers sizable spending boost for schools  #business #news,2016-01-07 20:21,685194488734584832,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
53,2014-03-12,1,i hate myself and want to die,69,137,I hate myself and want to die,2014-07-27 09:17,493324187625603072,A friend is someone who knows all about you and still loves you,New York,75146e79e40c32b350e71225c2792acdb92fcf1ae940ee16e0327a53aabd952a
54,2014-05-29,1,the daily 202 putting tom price s charter flights in perspective,36094,20288,The Daily 202: Putting Tom Price’s charter flights in perspective https://t.co/jF9EPibj3g,2017-09-29 11:09,913722445374398465,Tweets and politics,United States,Politweecs
55,2014-06-21,1,the best and worst deals in astros history sports,22823,5483,The best and worst deals in Astros history  #sports,2015-12-10 13:28,674943750968238084,"Houston top news and stories, powered 24/7","Houston, TX",HoustonTopNews
56,2014-05-14,1,local report doctors targets of war in syria,23595,13665,#local Report: Doctors Targets of War in Syria,2015-03-12 04:05,575870081932005376,"Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7","Chicago, IL",ChicagoDailyNew
57,2014-08-28,1,fired ups employee spits threatens and causes damage before departing highland heigh,19351,8207,"Fired UPS employee spits, threatens and causes damage before departing: Highland Heigh... https://t.co/1cgXEUtH4V https://t.co/nLuDd2t1ee",2017-01-05 01:54,816825143939002368,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements","City of Cleveland, USA",OnlineCleveland
58,2014-08-27,1,politics on gun control america can t wait for congress,66980,10500,"#politics On gun control, America can't wait for Congress",2015-12-16 02:52,676958084825247745,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
59,2014-05-14,1,my momma always said you ve got to put the past behind you before you can move on forrest gump 1994 quote true,51,153,"""My Momma always said you've got to put the past behind you before you can move on."" -Forrest Gump (1994) #quote #true",2014-08-26 12:27,504243623924596736,,"Washington, D.C.",beca91052aeb5f19582ceb4615b438717525613c5604dfbbec22d0f2fe340f10
60,2014-05-04,1,how d you expect me to believe happy,529,733,how'd you expect me to believe #happy,2014-11-06 14:42,530369630947139585,Lucky bastard,New-York,809577d4d29b6569186d7ddae18cd0859d65ff349af0815a08b24cbb552156ce
61,2014-08-15,1,in boston speech obama to unveil executive order for more paid sick leave politics,40762,14404,"In Boston speech, Obama to unveil executive order for more paid sick leave  #politics",2015-09-07 04:55,640750156543979520,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
62,2014-10-26,1,thomaslennon theoddcouplecbs catminority catminority i can,22026,12966,@thomaslennon @TheOddCoupleCBS @catminority @catminority I can!,2015-09-30 14:48,649234433266970624,#Hashtag warrior | I follow back | Bacon is my one true love | Contact me: sparksandrew6@gmail.com or DMs,I AM A CITIZEN OF THE UNIVERSE,AndyHashtagger
63,2014-08-27,1,cops nab suspect in brutal brooklyn rape of 10 year old girl newyork,66980,10500,Cops nab suspect in brutal Brooklyn rape of 10-year-old girl  #NewYork,2016-01-14 09:41,687570264293441536,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
64,2013-09-01,1,larry the cable guy redneckamovie midnight,5323,4171,(Larry) The Cable Guy #RedneckAMovie @midnight,2017-01-25 11:11,824213086647136256,"Hey, man ⌐╦╦═─",Chicago,Booth_Prince
65,2014-07-05,1,arlington drug take back event collects more than a ton of meds crime news,24696,7388,Arlington drug take-back event collects more than a ton of meds  #crime #news,2015-10-13 16:32,653971558122164224,"Dallas top news and stories, powered 24/7","Dallas, Texas",DallasTopNews
66,2014-06-18,1,go for the moon if you don t get it you ll still be heading for a star willis reed,4483,3281,"Go for the moon. If you don't get it, you'll still be heading for a star  – Willis Reed",2015-03-16 14:42,577480097231347712,nerd,"London, UK ",dc037fb4cc327210d7ec4ebc938ac38d3c8ae051213db8b97b8541c48c33372a
67,2015-06-06,1,nyc forecast tue 5515 night rain low temp occupywallstreet,21,5,NYC forecast Tue 5515 night Rain Low temp  #OccupyWallStreet http://t.co/WxcBQiNq23 https://t.co/R4aAHVgq8y,2015-06-10 12:26,608611100406366209,"We are a club of people who love New York City. Follow us or visit our website, then you can know everything about NYC.","New York, USA",e39056f8a6ed87cda6bc22cbfff630425677170a2fdd21aa132e158eec50d19e
68,2015-11-23,1,one of these days the giant flag behind her will fall down and kill her,44895,45382,One of these days the giant flag behind her will fall down and kill her. https://t.co/rqKbdgZn1N,2016-09-21 19:11,778672966762500097,"Truth is strong, and sometime or other will prevail!","Wisconsin, USA",USA_Gunslinger
69,2014-05-05,1,10 new orleans saints who are questionable to return in 2016 news,35988,11010,10 New Orleans Saints who are questionable to return in 2016  #news,2016-01-05 16:09,684406306325712896,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
70,2014-06-15,1,man who killed bellevue woman and set fire to her apartment sentenced to 30 years,25263,10975,Man who killed Bellevue woman and set fire to her apartment sentenced to 30 years https://t.co/jM5nxXMHa2 https://t.co/vfoi8Qz9Pz,2017-01-21 01:25,822616023790682115,"Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share","Seattle, WA",Seattle_Post
71,2014-08-27,1,s i teen learned heimlich from spongebob saved classmate newyork,66980,10500,"S.I. teen learned Heimlich from 'SpongeBob,' saved classmate  #NewYork",2015-11-06 20:27,662728086098604033,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
72,2014-08-15,1,south bend researchers seek ways to slow zika virus spread health,40762,14404,South Bend researchers seek ways to slow Zika virus spread  #health,2016-02-22 10:25,701714347114954752,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
73,2014-08-28,1,5a state swimming meet boerne champion s upchurch strikes gold sports,25528,7904,5A state swimming meet: Boerne Champion’s Upchurch strikes gold  #sports,2015-02-22 06:38,569385703928258560,"San Antonio top news and stories, powered 24/7","City of San Antonio, TX",SanAntoTopNews
74,2014-08-15,1,shooting at alexandria hotel injures three people,40762,14404,Shooting at Alexandria Hotel Injures Three People https://t.co/4U3gRGtinr https://t.co/ERGB07vwDn,2017-05-13 11:16,863352227024580608,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
75,2015-11-19,1,if donald trump is a nazi for not calling out nazis was obama an islamic terrorist for not calling out islamic terrorists,9696,8503,"If Donald Trump is a Nazi for not calling out Nazis, was Obama an  Islamic terrorist for not calling out Islamic terrorists?",2017-08-17 23:33,898326903043399681,Proud American and TEXAN patriot!  Stop ISLAM and PC. Don't mess with Texas,"Houston, TX",southlonestar2
76,2014-08-28,1,local decorated boston officer clings to life after shooting,19351,8207,#local Decorated Boston officer clings to life after shooting,2015-03-29 18:59,582255658424147968,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements","City of Cleveland, USA",OnlineCleveland
77,2014-08-27,1,cuomo denounces anti semitism during israel trip,66980,10500,Cuomo Denounces Anti-Semitism During Israel Trip https://t.co/1YcXLJkPA3 https://t.co/Q8lxas7D7I,2017-03-06 10:53,838704067627069440,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
78,2013-08-06,1,it s mine not ya dad s makesexawkwardin5words,5172,2833,It's mine not ya dad's   #MakeSexAwkwardIn5Words https://t.co/nqm8mMXEgS,2017-03-23 16:43,844952867614179328,The only true wisdom is in knowing you know nothing!,United States,IlikeBIGbuttand
79,2014-08-27,1,fugitive brooklyn dad bobby love heads back to nc newyork,66980,10500,Fugitive Brooklyn dad 'Bobby Love' heads back to NC  #NewYork,2015-06-18 19:17,611613682200502273,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
80,2014-06-21,1,police 1 dead 1 hospitalized after attempted murder suicide news,22823,5483,"Police: 1 dead, 1 hospitalized after attempted murder-suicide  #news",2015-02-03 01:14,562418760598822912,"Houston top news and stories, powered 24/7","Houston, TX",HoustonTopNews
81,2014-08-28,1,apps for managing a child s smarphone,19351,8207,Apps for managing a child's smarphone https://t.co/xFNJsiBwrp https://t.co/Sws3eZmqmi,2017-02-13 18:25,831207605750095872,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements","City of Cleveland, USA",OnlineCleveland
82,2014-08-15,1,michigan confirms 3rd case of chronic wasting in wild deer health,40762,14404,Michigan confirms 3rd case of chronic wasting in wild deer  #health,2015-08-06 15:35,629314876175839232,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
83,2014-05-29,1,perdue says research is the basis of agricultural sector success,36094,20288,Perdue says research is the basis of agricultural sector success https://t.co/YsTKdTP9vi,2017-03-23 16:27,844948785075830785,Tweets and politics,United States,Politweecs
84,2015-11-23,1,he hasn t been wrong about islam multiple times he lied about islam multiple times resignobama niceattack,44895,45382,He hasn't been wrong about Islam multiple times. He lied about Islam multiple times! #ResignObama #NiceAttack https://t.co/n8Y4gSwFMi,2016-07-16 01:08,754120482450841600,"Truth is strong, and sometime or other will prevail!","Wisconsin, USA",USA_Gunslinger
85,2013-08-31,1,love has nothing to do with what you are expecting to get only with what you are expecting to give which is everything,818,1108,Love has nothing to do with what you are expecting to get  – only with what you are expecting to give  – which is everything,2015-01-30 11:38,561126175309717505,Const Conservative Patriot Mamma❤️Defending #Liberty & #Freedom!❤️Luv #fam #friends #dogs & dancing cha-cha-cha!❤️,United States,e7c3a4b1e42a99361173456b74a01fe65033e637c69944fbc8e0a6f568416fd4
86,2014-05-05,1,house passes defense bill with 1 3 percent hike in military pay news,35988,11010,House passes defense bill with 1.3 percent hike in military pay  #news,2015-10-01 20:11,649678156656279553,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
87,2014-05-05,1,winter olympics 2022 beijing chosen by ioc sports,35988,11010,Winter Olympics 2022: Beijing chosen by IOC  #sports,2015-07-31 10:47,627068123829506048,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","New Orleans, LA",NewOrleansON
88,2014-05-05,1,ihavearighttoknow what you are hiding in your taxes realdonaldtrump,4946,4236,#IHaveARightToKnow What you are hiding in your taxes @realDonaldTrump,2016-09-28 15:15,781150360295530496,"Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.","Washington, DC",0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539
89,2014-05-28,1,thingsinventedwhilehigh memes,7446,7377,#ThingsInventedWhileHigh memes,2016-09-05 10:20,772741071231152128,Be the change that you wish to see in the world,New - York,LoraGreeen
90,2014-08-15,1,judge who donated to hastert campaigns will continue to hear hush money case politics,40762,14404,Judge who donated to Hastert campaigns will continue to hear hush-money case  #politics,2015-06-11 20:39,609097631223009281,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements","Washington, D.C.",WashingtOnline
91,2014-06-08,1,15th seeded middle tenn state takes down mich state sports,18560,7276,15th-seeded Middle Tenn. State takes down Mich. State  #sports,2016-03-18 22:05,710950212513103872,"Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM","Boston, USA",TodayBostonMA
